region,year,units,value,scenario
ARG,2005,ug/m3,6.33862998,SSP4
AUS,2005,ug/m3,7.310085554,SSP4
AUT,2005,ug/m3,10.97435805,SSP4
BGR,2005,ug/m3,15.32790443,SSP4
BLX,2005,ug/m3,13.21783601,SSP4
BRA,2005,ug/m3,6.37816202,SSP4
CAN,2005,ug/m3,8.478444815,SSP4
CHE,2005,ug/m3,13.36862394,SSP4
CHL,2005,ug/m3,40.26947837,SSP4
CHN,2005,ug/m3,49.55380296,SSP4
COR,2005,ug/m3,25.41782657,SSP4
EAF,2005,ug/m3,16.83169682,SSP4
EGY,2005,ug/m3,46.28943927,SSP4
ESP,2005,ug/m3,13.71992985,SSP4
FIN,2005,ug/m3,5.364315149,SSP4
FRA,2005,ug/m3,14.030762,SSP4
GBR,2005,ug/m3,8.425357827,SSP4
GOLF,2005,ug/m3,56.51702853,SSP4
GRC,2005,ug/m3,19.48505145,SSP4
HUN,2005,ug/m3,11.33720205,SSP4
IDN,2005,ug/m3,13.78489262,SSP4
ITA,2005,ug/m3,20.72986008,SSP4
JPN,2005,ug/m3,19.15334337,SSP4
KAZ,2005,ug/m3,17.78203269,SSP4
MEME,2005,ug/m3,27.93080732,SSP4
MEX,2005,ug/m3,13.95352758,SSP4
MON,2005,ug/m3,25.59284696,SSP4
MYS,2005,ug/m3,9.692969247,SSP4
NDE,2005,ug/m3,37.18021743,SSP4
NOA,2005,ug/m3,25.84335758,SSP4
NOR,2005,ug/m3,4.680805751,SSP4
NZL,2005,ug/m3,15.51441455,SSP4
PAC,2005,ug/m3,7.964527452,SSP4
PHL,2005,ug/m3,8.533172333,SSP4
POL,2005,ug/m3,8.609838467,SSP4
RCAM,2005,ug/m3,13.07681643,SSP4
RCEU,2005,ug/m3,14.35955351,SSP4
RCZ,2005,ug/m3,11.47235072,SSP4
RFA,2005,ug/m3,13.6103148,SSP4
RIS,2005,ug/m3,42.33893738,SSP4
ROM,2005,ug/m3,11.92388476,SSP4
RSA,2005,ug/m3,15.86174309,SSP4
RSAM,2005,ug/m3,10.17422497,SSP4
RSAS,2005,ug/m3,41.20238249,SSP4
RSEA,2005,ug/m3,18.97604937,SSP4
RUE,2005,ug/m3,8.169658695,SSP4
RUS,2005,ug/m3,9.720584151,SSP4
SAF,2005,ug/m3,8.06815764,SSP4
SWE,2005,ug/m3,6.689747921,SSP4
THA,2005,ug/m3,21.51335747,SSP4
TUR,2005,ug/m3,15.21196806,SSP4
TWN,2005,ug/m3,17.93689322,SSP4
UKR,2005,ug/m3,6.499693041,SSP4
USA,2005,ug/m3,11.45058451,SSP4
VNM,2005,ug/m3,35.52851933,SSP4
WAF,2005,ug/m3,40.65117081,SSP4
ARG,2010,ug/m3,7.535041379,SSP4
AUS,2010,ug/m3,7.201028075,SSP4
AUT,2010,ug/m3,10.77235393,SSP4
BGR,2010,ug/m3,13.58484411,SSP4
BLX,2010,ug/m3,10.9850748,SSP4
BRA,2010,ug/m3,7.227199125,SSP4
CAN,2010,ug/m3,7.381484892,SSP4
CHE,2010,ug/m3,12.1669272,SSP4
CHL,2010,ug/m3,41.90813615,SSP4
CHN,2010,ug/m3,49.13304942,SSP4
COR,2010,ug/m3,22.80233724,SSP4
EAF,2010,ug/m3,17.22171441,SSP4
EGY,2010,ug/m3,48.42412364,SSP4
ESP,2010,ug/m3,8.939597685,SSP4
FIN,2010,ug/m3,5.452242948,SSP4
FRA,2010,ug/m3,11.21307122,SSP4
GBR,2010,ug/m3,6.759112541,SSP4
GOLF,2010,ug/m3,58.79510303,SSP4
GRC,2010,ug/m3,16.63887162,SSP4
HUN,2010,ug/m3,12.62519391,SSP4
IDN,2010,ug/m3,15.02028389,SSP4
ITA,2010,ug/m3,18.04944107,SSP4
JPN,2010,ug/m3,17.63597132,SSP4
KAZ,2010,ug/m3,17.74769231,SSP4
MEME,2010,ug/m3,28.44344594,SSP4
MEX,2010,ug/m3,10.29041723,SSP4
MON,2010,ug/m3,23.47019072,SSP4
MYS,2010,ug/m3,11.05175977,SSP4
NDE,2010,ug/m3,47.91096464,SSP4
NOA,2010,ug/m3,24.42252612,SSP4
NOR,2010,ug/m3,4.648707923,SSP4
NZL,2010,ug/m3,15.43831217,SSP4
PAC,2010,ug/m3,7.9757691,SSP4
PHL,2010,ug/m3,8.212543952,SSP4
POL,2010,ug/m3,8.618585669,SSP4
RCAM,2010,ug/m3,12.90045293,SSP4
RCEU,2010,ug/m3,15.31078718,SSP4
RCZ,2010,ug/m3,11.2262016,SSP4
RFA,2010,ug/m3,12.04740384,SSP4
RIS,2010,ug/m3,45.26213088,SSP4
ROM,2010,ug/m3,11.93798136,SSP4
RSA,2010,ug/m3,15.81836946,SSP4
RSAM,2010,ug/m3,10.08552651,SSP4
RSAS,2010,ug/m3,48.71006303,SSP4
RSEA,2010,ug/m3,19.79743458,SSP4
RUE,2010,ug/m3,7.769962277,SSP4
RUS,2010,ug/m3,9.607362212,SSP4
SAF,2010,ug/m3,8.507462253,SSP4
SWE,2010,ug/m3,6.032881037,SSP4
THA,2010,ug/m3,21.36541467,SSP4
TUR,2010,ug/m3,16.33868795,SSP4
TWN,2010,ug/m3,16.88189765,SSP4
UKR,2010,ug/m3,7.645703429,SSP4
USA,2010,ug/m3,9.52342481,SSP4
VNM,2010,ug/m3,34.66555026,SSP4
WAF,2010,ug/m3,40.41655562,SSP4
ARG,2020,ug/m3,7.17947907,SSP4
AUS,2020,ug/m3,7.003368986,SSP4
AUT,2020,ug/m3,6.31389038,SSP4
BGR,2020,ug/m3,10.17924069,SSP4
BLX,2020,ug/m3,6.267443427,SSP4
BRA,2020,ug/m3,7.080268574,SSP4
CAN,2020,ug/m3,7.384490084,SSP4
CHE,2020,ug/m3,8.385526623,SSP4
CHL,2020,ug/m3,35.62341428,SSP4
CHN,2020,ug/m3,38.51411714,SSP4
COR,2020,ug/m3,17.79323358,SSP4
EAF,2020,ug/m3,17.16246791,SSP4
EGY,2020,ug/m3,50.2215501,SSP4
ESP,2020,ug/m3,6.063516681,SSP4
FIN,2020,ug/m3,4.268479734,SSP4
FRA,2020,ug/m3,6.247509059,SSP4
GBR,2020,ug/m3,3.672388247,SSP4
GOLF,2020,ug/m3,57.22836792,SSP4
GRC,2020,ug/m3,11.28327476,SSP4
HUN,2020,ug/m3,8.148013068,SSP4
IDN,2020,ug/m3,14.78303596,SSP4
ITA,2020,ug/m3,10.92155384,SSP4
JPN,2020,ug/m3,12.77272509,SSP4
KAZ,2020,ug/m3,17.08572426,SSP4
MEME,2020,ug/m3,25.18344413,SSP4
MEX,2020,ug/m3,10.63176844,SSP4
MON,2020,ug/m3,20.33827788,SSP4
MYS,2020,ug/m3,9.796641627,SSP4
NDE,2020,ug/m3,52.38070524,SSP4
NOA,2020,ug/m3,24.03405798,SSP4
NOR,2020,ug/m3,4.00975382,SSP4
NZL,2020,ug/m3,15.3885209,SSP4
PAC,2020,ug/m3,7.959518166,SSP4
PHL,2020,ug/m3,7.901298309,SSP4
POL,2020,ug/m3,5.690332869,SSP4
RCAM,2020,ug/m3,12.6085706,SSP4
RCEU,2020,ug/m3,10.3667025,SSP4
RCZ,2020,ug/m3,6.662428013,SSP4
RFA,2020,ug/m3,6.734810384,SSP4
RIS,2020,ug/m3,40.95824504,SSP4
ROM,2020,ug/m3,8.341561209,SSP4
RSA,2020,ug/m3,16.23940877,SSP4
RSAM,2020,ug/m3,8.506367811,SSP4
RSAS,2020,ug/m3,54.06564216,SSP4
RSEA,2020,ug/m3,19.2272333,SSP4
RUE,2020,ug/m3,7.676439122,SSP4
RUS,2020,ug/m3,9.15688047,SSP4
SAF,2020,ug/m3,8.636682915,SSP4
SWE,2020,ug/m3,3.84633269,SSP4
THA,2020,ug/m3,19.1899941,SSP4
TUR,2020,ug/m3,12.66908548,SSP4
TWN,2020,ug/m3,12.44310166,SSP4
UKR,2020,ug/m3,5.703786816,SSP4
USA,2020,ug/m3,7.63618181,SSP4
VNM,2020,ug/m3,31.59955428,SSP4
WAF,2020,ug/m3,40.70050304,SSP4
ARG,2030,ug/m3,6.678538878,SSP4
AUS,2030,ug/m3,6.86715582,SSP4
AUT,2030,ug/m3,6.010648625,SSP4
BGR,2030,ug/m3,9.121762064,SSP4
BLX,2030,ug/m3,5.214837359,SSP4
BRA,2030,ug/m3,6.987094493,SSP4
CAN,2030,ug/m3,7.667762651,SSP4
CHE,2030,ug/m3,12.2761061,SSP4
CHL,2030,ug/m3,34.67080487,SSP4
CHN,2030,ug/m3,33.99584072,SSP4
COR,2030,ug/m3,15.53815683,SSP4
EAF,2030,ug/m3,17.58411165,SSP4
EGY,2030,ug/m3,53.56490645,SSP4
ESP,2030,ug/m3,5.640665234,SSP4
FIN,2030,ug/m3,4.134558582,SSP4
FRA,2030,ug/m3,5.585101103,SSP4
GBR,2030,ug/m3,3.35852091,SSP4
GOLF,2030,ug/m3,54.27938091,SSP4
GRC,2030,ug/m3,9.936136449,SSP4
HUN,2030,ug/m3,7.050005448,SSP4
IDN,2030,ug/m3,14.48316434,SSP4
ITA,2030,ug/m3,9.761798036,SSP4
JPN,2030,ug/m3,11.97016337,SSP4
KAZ,2030,ug/m3,16.27967547,SSP4
MEME,2030,ug/m3,22.22720477,SSP4
MEX,2030,ug/m3,11.17771695,SSP4
MON,2030,ug/m3,18.58361627,SSP4
MYS,2030,ug/m3,9.524238761,SSP4
NDE,2030,ug/m3,57.17652782,SSP4
NOA,2030,ug/m3,24.92960561,SSP4
NOR,2030,ug/m3,5.373061715,SSP4
NZL,2030,ug/m3,15.33865347,SSP4
PAC,2030,ug/m3,7.937443248,SSP4
PHL,2030,ug/m3,7.854356798,SSP4
POL,2030,ug/m3,5.028717461,SSP4
RCAM,2030,ug/m3,12.33240282,SSP4
RCEU,2030,ug/m3,9.255002666,SSP4
RCZ,2030,ug/m3,5.706599397,SSP4
RFA,2030,ug/m3,5.521177067,SSP4
RIS,2030,ug/m3,38.1248184,SSP4
ROM,2030,ug/m3,7.302387408,SSP4
RSA,2030,ug/m3,15.16735469,SSP4
RSAM,2030,ug/m3,8.40940878,SSP4
RSAS,2030,ug/m3,56.52145196,SSP4
RSEA,2030,ug/m3,19.70694497,SSP4
RUE,2030,ug/m3,7.232550428,SSP4
RUS,2030,ug/m3,8.569610408,SSP4
SAF,2030,ug/m3,9.263628498,SSP4
SWE,2030,ug/m3,3.548790759,SSP4
THA,2030,ug/m3,18.94754064,SSP4
TUR,2030,ug/m3,11.28123134,SSP4
TWN,2030,ug/m3,10.32490408,SSP4
UKR,2030,ug/m3,5.189200433,SSP4
USA,2030,ug/m3,7.116248688,SSP4
VNM,2030,ug/m3,30.81669011,SSP4
WAF,2030,ug/m3,42.08469608,SSP4
ARG,2040,ug/m3,6.25435631,SSP4
AUS,2040,ug/m3,6.815208432,SSP4
AUT,2040,ug/m3,4.809420446,SSP4
BGR,2040,ug/m3,8.105787579,SSP4
BLX,2040,ug/m3,3.861654119,SSP4
BRA,2040,ug/m3,6.735650975,SSP4
CAN,2040,ug/m3,7.221630006,SSP4
CHE,2040,ug/m3,8.330722683,SSP4
CHL,2040,ug/m3,32.34014769,SSP4
CHN,2040,ug/m3,31.66036371,SSP4
COR,2040,ug/m3,14.40831462,SSP4
