region,year,units,value,scenario
EAF,2040,ug/m3,17.9136284,SSP4
EGY,2040,ug/m3,58.14320966,SSP4
ESP,2040,ug/m3,5.32242104,SSP4
FIN,2040,ug/m3,3.726883826,SSP4
FRA,2040,ug/m3,4.619761178,SSP4
GBR,2040,ug/m3,2.93939634,SSP4
GOLF,2040,ug/m3,51.52519172,SSP4
GRC,2040,ug/m3,9.063264396,SSP4
HUN,2040,ug/m3,5.72624751,SSP4
IDN,2040,ug/m3,14.15459138,SSP4
ITA,2040,ug/m3,8.021197085,SSP4
JPN,2040,ug/m3,10.7344598,SSP4
KAZ,2040,ug/m3,15.55503708,SSP4
MEME,2040,ug/m3,19.67713205,SSP4
MEX,2040,ug/m3,11.07416979,SSP4
MON,2040,ug/m3,17.37931494,SSP4
MYS,2040,ug/m3,9.12482894,SSP4
NDE,2040,ug/m3,58.69654397,SSP4
NOA,2040,ug/m3,26.02113272,SSP4
NOR,2040,ug/m3,4.398136002,SSP4
NZL,2040,ug/m3,15.31820483,SSP4
PAC,2040,ug/m3,7.913187287,SSP4
PHL,2040,ug/m3,7.754890554,SSP4
POL,2040,ug/m3,4.144650887,SSP4
RCAM,2040,ug/m3,12.00334671,SSP4
RCEU,2040,ug/m3,8.129008982,SSP4
RCZ,2040,ug/m3,4.671313674,SSP4
RFA,2040,ug/m3,4.433746532,SSP4
RIS,2040,ug/m3,35.55975191,SSP4
ROM,2040,ug/m3,5.979255416,SSP4
RSA,2040,ug/m3,14.45575235,SSP4
RSAM,2040,ug/m3,9.109291442,SSP4
RSAS,2040,ug/m3,57.69820274,SSP4
RSEA,2040,ug/m3,19.67919933,SSP4
RUE,2040,ug/m3,6.750145059,SSP4
RUS,2040,ug/m3,7.793675787,SSP4
SAF,2040,ug/m3,10.12942916,SSP4
SWE,2040,ug/m3,3.111644697,SSP4
THA,2040,ug/m3,18.49529448,SSP4
TUR,2040,ug/m3,10.11849455,SSP4
TWN,2040,ug/m3,9.165847479,SSP4
UKR,2040,ug/m3,4.253441799,SSP4
USA,2040,ug/m3,6.701436954,SSP4
VNM,2040,ug/m3,29.95071374,SSP4
WAF,2040,ug/m3,42.98471036,SSP4
ARG,2050,ug/m3,6.054436176,SSP4
AUS,2050,ug/m3,6.794636135,SSP4
AUT,2050,ug/m3,4.158098745,SSP4
BGR,2050,ug/m3,7.467027705,SSP4
BLX,2050,ug/m3,3.36710751,SSP4
BRA,2050,ug/m3,6.61014413,SSP4
CAN,2050,ug/m3,6.994400051,SSP4
CHE,2050,ug/m3,7.110471449,SSP4
CHL,2050,ug/m3,31.06109616,SSP4
CHN,2050,ug/m3,29.96184402,SSP4
COR,2050,ug/m3,13.50426654,SSP4
EAF,2050,ug/m3,18.33753953,SSP4
EGY,2050,ug/m3,60.77801955,SSP4
ESP,2050,ug/m3,5.192127108,SSP4
FIN,2050,ug/m3,3.507292893,SSP4
FRA,2050,ug/m3,4.216525118,SSP4
GBR,2050,ug/m3,2.762042885,SSP4
GOLF,2050,ug/m3,50.56452164,SSP4
GRC,2050,ug/m3,8.602826298,SSP4
HUN,2050,ug/m3,4.822656237,SSP4
IDN,2050,ug/m3,13.94275692,SSP4
ITA,2050,ug/m3,7.433208764,SSP4
JPN,2050,ug/m3,10.64887294,SSP4
KAZ,2050,ug/m3,15.12061604,SSP4
MEME,2050,ug/m3,18.73486791,SSP4
MEX,2050,ug/m3,10.53131227,SSP4
MON,2050,ug/m3,16.61088507,SSP4
MYS,2050,ug/m3,8.864580444,SSP4
NDE,2050,ug/m3,59.23347581,SSP4
NOA,2050,ug/m3,26.64037643,SSP4
NOR,2050,ug/m3,4.092743565,SSP4
NZL,2050,ug/m3,15.31292408,SSP4
PAC,2050,ug/m3,7.906668611,SSP4
PHL,2050,ug/m3,7.658853945,SSP4
POL,2050,ug/m3,3.555947499,SSP4
RCAM,2050,ug/m3,11.7299828,SSP4
RCEU,2050,ug/m3,7.484725842,SSP4
RCZ,2050,ug/m3,3.956246688,SSP4
RFA,2050,ug/m3,3.974474355,SSP4
RIS,2050,ug/m3,33.80188682,SSP4
ROM,2050,ug/m3,5.084870577,SSP4
RSA,2050,ug/m3,14.38303668,SSP4
RSAM,2050,ug/m3,8.985372399,SSP4
RSAS,2050,ug/m3,59.83812332,SSP4
RSEA,2050,ug/m3,19.52147673,SSP4
RUE,2050,ug/m3,6.459758229,SSP4
RUS,2050,ug/m3,7.383008721,SSP4
SAF,2050,ug/m3,11.49010903,SSP4
SWE,2050,ug/m3,2.928503592,SSP4
THA,2050,ug/m3,18.0934001,SSP4
TUR,2050,ug/m3,9.471261374,SSP4
TWN,2050,ug/m3,8.632618146,SSP4
UKR,2050,ug/m3,4.078510835,SSP4
USA,2050,ug/m3,6.544060692,SSP4
VNM,2050,ug/m3,29.0281758,SSP4
WAF,2050,ug/m3,43.73520354,SSP4
