region,year,units,value,scenario
ARG,2005,ug/m3,4.82575332,SSP5
AUS,2005,ug/m3,5.473390369,SSP5
AUT,2005,ug/m3,7.916238697,SSP5
BGR,2005,ug/m3,10.81860295,SSP5
BLX,2005,ug/m3,9.411890672,SSP5
BRA,2005,ug/m3,4.852108013,SSP5
CAN,2005,ug/m3,6.252296543,SSP5
CHE,2005,ug/m3,9.512415957,SSP5
CHL,2005,ug/m3,27.44631891,SSP5
CHN,2005,ug/m3,33.63586864,SSP5
COR,2005,ug/m3,17.54521771,SSP5
EAF,2005,ug/m3,11.82113121,SSP5
EGY,2005,ug/m3,31.45962618,SSP5
ESP,2005,ug/m3,9.746619902,SSP5
FIN,2005,ug/m3,4.176210099,SSP5
FRA,2005,ug/m3,9.953841334,SSP5
GBR,2005,ug/m3,6.216905218,SSP5
GOLF,2005,ug/m3,38.27801902,SSP5
GRC,2005,ug/m3,13.5900343,SSP5
HUN,2005,ug/m3,8.158134698,SSP5
IDN,2005,ug/m3,9.789928416,SSP5
ITA,2005,ug/m3,14.41990672,SSP5
JPN,2005,ug/m3,13.36889558,SSP5
KAZ,2005,ug/m3,12.45468846,SSP5
MEME,2005,ug/m3,19.22053821,SSP5
MEX,2005,ug/m3,9.902351719,SSP5
MON,2005,ug/m3,17.66189797,SSP5
MYS,2005,ug/m3,7.061979498,SSP5
NDE,2005,ug/m3,25.38681162,SSP5
NOA,2005,ug/m3,17.82890505,SSP5
NOR,2005,ug/m3,3.720537167,SSP5
NZL,2005,ug/m3,10.94294303,SSP5
PAC,2005,ug/m3,5.909684968,SSP5
PHL,2005,ug/m3,6.288781555,SSP5
POL,2005,ug/m3,6.339892311,SSP5
RCAM,2005,ug/m3,9.317877623,SSP5
RCEU,2005,ug/m3,10.17303567,SSP5
RCZ,2005,ug/m3,8.24823381,SSP5
RFA,2005,ug/m3,9.673543198,SSP5
RIS,2005,ug/m3,28.82595825,SSP5
ROM,2005,ug/m3,8.549256508,SSP5
RSA,2005,ug/m3,11.17449539,SSP5
RSAM,2005,ug/m3,7.382816648,SSP5
RSAS,2005,ug/m3,28.06825499,SSP5
RSEA,2005,ug/m3,13.25069958,SSP5
RUE,2005,ug/m3,6.04643913,SSP5
RUS,2005,ug/m3,7.080389434,SSP5
SAF,2005,ug/m3,5.97877176,SSP5
SWE,2005,ug/m3,5.059831947,SSP5
THA,2005,ug/m3,14.94223831,SSP5
TUR,2005,ug/m3,10.74131204,SSP5
TWN,2005,ug/m3,12.55792881,SSP5
UKR,2005,ug/m3,4.933128694,SSP5
USA,2005,ug/m3,8.233723006,SSP5
VNM,2005,ug/m3,24.28567955,SSP5
WAF,2005,ug/m3,27.70078054,SSP5
ARG,2010,ug/m3,5.623360919,SSP5
AUS,2010,ug/m3,5.400685383,SSP5
AUT,2010,ug/m3,7.781569285,SSP5
BGR,2010,ug/m3,9.656562737,SSP5
BLX,2010,ug/m3,7.923383202,SSP5
BRA,2010,ug/m3,5.41813275,SSP5
CAN,2010,ug/m3,5.520989928,SSP5
CHE,2010,ug/m3,8.7112848,SSP5
CHL,2010,ug/m3,28.53875743,SSP5
CHN,2010,ug/m3,33.35536628,SSP5
COR,2010,ug/m3,15.80155816,SSP5
EAF,2010,ug/m3,12.08114294,SSP5
EGY,2010,ug/m3,32.88274909,SSP5
ESP,2010,ug/m3,6.55973179,SSP5
FIN,2010,ug/m3,4.234828632,SSP5
FRA,2010,ug/m3,8.07538081,SSP5
GBR,2010,ug/m3,5.106075027,SSP5
GOLF,2010,ug/m3,39.79673535,SSP5
GRC,2010,ug/m3,11.69258108,SSP5
HUN,2010,ug/m3,9.016795937,SSP5
IDN,2010,ug/m3,10.61352259,SSP5
ITA,2010,ug/m3,12.63296071,SSP5
JPN,2010,ug/m3,12.35731421,SSP5
KAZ,2010,ug/m3,12.43179487,SSP5
MEME,2010,ug/m3,19.56229729,SSP5
MEX,2010,ug/m3,7.460278156,SSP5
MON,2010,ug/m3,16.24679381,SSP5
MYS,2010,ug/m3,7.967839844,SSP5
NDE,2010,ug/m3,32.54064309,SSP5
NOA,2010,ug/m3,16.88168408,SSP5
NOR,2010,ug/m3,3.699138615,SSP5
NZL,2010,ug/m3,10.89220811,SSP5
PAC,2010,ug/m3,5.9171794,SSP5
PHL,2010,ug/m3,6.075029301,SSP5
POL,2010,ug/m3,6.345723779,SSP5
RCAM,2010,ug/m3,9.200301951,SSP5
RCEU,2010,ug/m3,10.80719145,SSP5
RCZ,2010,ug/m3,8.084134402,SSP5
RFA,2010,ug/m3,8.631602559,SSP5
RIS,2010,ug/m3,30.77475392,SSP5
ROM,2010,ug/m3,8.55865424,SSP5
RSA,2010,ug/m3,11.14557964,SSP5
RSAM,2010,ug/m3,7.323684339,SSP5
RSAS,2010,ug/m3,33.07337535,SSP5
RSEA,2010,ug/m3,13.79828972,SSP5
RUE,2010,ug/m3,5.779974851,SSP5
RUS,2010,ug/m3,7.004908141,SSP5
SAF,2010,ug/m3,6.271641502,SSP5
SWE,2010,ug/m3,4.621920691,SSP5
THA,2010,ug/m3,14.84360978,SSP5
TUR,2010,ug/m3,11.49245863,SSP5
TWN,2010,ug/m3,11.85459843,SSP5
UKR,2010,ug/m3,5.697135619,SSP5
USA,2010,ug/m3,6.948949873,SSP5
VNM,2010,ug/m3,23.71036684,SSP5
WAF,2010,ug/m3,27.54437041,SSP5
ARG,2020,ug/m3,5.38631938,SSP5
AUS,2020,ug/m3,5.268912657,SSP5
AUT,2020,ug/m3,4.809260253,SSP5
BGR,2020,ug/m3,7.386160463,SSP5
BLX,2020,ug/m3,4.778295618,SSP5
BRA,2020,ug/m3,5.320179049,SSP5
CAN,2020,ug/m3,5.522993389,SSP5
CHE,2020,ug/m3,6.190351082,SSP5
CHL,2020,ug/m3,24.34894285,SSP5
CHN,2020,ug/m3,26.27607809,SSP5
COR,2020,ug/m3,12.46215572,SSP5
EAF,2020,ug/m3,12.04164527,SSP5
EGY,2020,ug/m3,34.0810334,SSP5
ESP,2020,ug/m3,4.642344454,SSP5
FIN,2020,ug/m3,3.445653156,SSP5
FRA,2020,ug/m3,4.765006039,SSP5
GBR,2020,ug/m3,3.048258831,SSP5
GOLF,2020,ug/m3,38.75224528,SSP5
GRC,2020,ug/m3,8.122183172,SSP5
HUN,2020,ug/m3,6.032008712,SSP5
IDN,2020,ug/m3,10.4553573,SSP5
ITA,2020,ug/m3,7.881035895,SSP5
JPN,2020,ug/m3,9.115150062,SSP5
KAZ,2020,ug/m3,11.99048284,SSP5
MEME,2020,ug/m3,17.38896275,SSP5
MEX,2020,ug/m3,7.687845628,SSP5
MON,2020,ug/m3,14.15885192,SSP5
MYS,2020,ug/m3,7.131094418,SSP5
NDE,2020,ug/m3,35.52047016,SSP5
NOA,2020,ug/m3,16.62270532,SSP5
NOR,2020,ug/m3,3.273169213,SSP5
NZL,2020,ug/m3,10.85901393,SSP5
PAC,2020,ug/m3,5.906345444,SSP5
PHL,2020,ug/m3,5.867532206,SSP5
POL,2020,ug/m3,4.393555246,SSP5
RCAM,2020,ug/m3,9.00571373,SSP5
RCEU,2020,ug/m3,7.511134999,SSP5
RCZ,2020,ug/m3,5.041618675,SSP5
RFA,2020,ug/m3,5.089873589,SSP5
RIS,2020,ug/m3,27.90549669,SSP5
ROM,2020,ug/m3,6.161040806,SSP5
RSA,2020,ug/m3,11.42627251,SSP5
