region,year,units,value,scenario
RSAM,2020,ug/m3,6.270911874,SSP5
RSAS,2020,ug/m3,36.64376144,SSP5
RSEA,2020,ug/m3,13.41815553,SSP5
RUE,2020,ug/m3,5.717626081,SSP5
RUS,2020,ug/m3,6.70458698,SSP5
SAF,2020,ug/m3,6.35778861,SSP5
SWE,2020,ug/m3,3.164221793,SSP5
THA,2020,ug/m3,13.3933294,SSP5
TUR,2020,ug/m3,9.046056988,SSP5
TWN,2020,ug/m3,8.895401106,SSP5
UKR,2020,ug/m3,4.402524544,SSP5
USA,2020,ug/m3,5.690787873,SSP5
VNM,2020,ug/m3,21.66636952,SSP5
WAF,2020,ug/m3,27.73366869,SSP5
ARG,2030,ug/m3,5.052359252,SSP5
AUS,2030,ug/m3,5.17810388,SSP5
AUT,2030,ug/m3,4.607099083,SSP5
BGR,2030,ug/m3,6.681174709,SSP5
BLX,2030,ug/m3,4.076558239,SSP5
BRA,2030,ug/m3,5.258062995,SSP5
CAN,2030,ug/m3,5.711841767,SSP5
CHE,2030,ug/m3,8.784070731,SSP5
CHL,2030,ug/m3,23.71386991,SSP5
CHN,2030,ug/m3,23.26389381,SSP5
COR,2030,ug/m3,10.95877122,SSP5
EAF,2030,ug/m3,12.3227411,SSP5
EGY,2030,ug/m3,36.30993763,SSP5
ESP,2030,ug/m3,4.360443489,SSP5
FIN,2030,ug/m3,3.356372388,SSP5
FRA,2030,ug/m3,4.323400735,SSP5
GBR,2030,ug/m3,2.83901394,SSP5
GOLF,2030,ug/m3,36.78625394,SSP5
GRC,2030,ug/m3,7.224090966,SSP5
HUN,2030,ug/m3,5.300003632,SSP5
IDN,2030,ug/m3,10.2554429,SSP5
ITA,2030,ug/m3,7.107865357,SSP5
JPN,2030,ug/m3,8.580108911,SSP5
KAZ,2030,ug/m3,11.45311698,SSP5
MEME,2030,ug/m3,15.41813651,SSP5
MEX,2030,ug/m3,8.0518113,SSP5
MON,2030,ug/m3,12.98907751,SSP5
MYS,2030,ug/m3,6.949492507,SSP5
NDE,2030,ug/m3,38.71768521,SSP5
NOA,2030,ug/m3,17.21973707,SSP5
NOR,2030,ug/m3,4.182041143,SSP5
NZL,2030,ug/m3,10.82576898,SSP5
PAC,2030,ug/m3,5.891628832,SSP5
PHL,2030,ug/m3,5.836237865,SSP5
POL,2030,ug/m3,3.952478307,SSP5
RCAM,2030,ug/m3,8.821601877,SSP5
RCEU,2030,ug/m3,6.770001777,SSP5
RCZ,2030,ug/m3,4.404399598,SSP5
RFA,2030,ug/m3,4.280784711,SSP5
RIS,2030,ug/m3,26.0165456,SSP5
ROM,2030,ug/m3,5.468258272,SSP5
RSA,2030,ug/m3,10.71156979,SSP5
RSAM,2030,ug/m3,6.20627252,SSP5
RSAS,2030,ug/m3,38.28096797,SSP5
RSEA,2030,ug/m3,13.73796331,SSP5
RUE,2030,ug/m3,5.421700285,SSP5
RUS,2030,ug/m3,6.313073605,SSP5
SAF,2030,ug/m3,6.775752332,SSP5
SWE,2030,ug/m3,2.965860506,SSP5
THA,2030,ug/m3,13.23169376,SSP5
TUR,2030,ug/m3,8.12082089,SSP5
TWN,2030,ug/m3,7.483269389,SSP5
UKR,2030,ug/m3,4.059466955,SSP5
USA,2030,ug/m3,5.344165792,SSP5
VNM,2030,ug/m3,21.14446007,SSP5
WAF,2030,ug/m3,28.65646405,SSP5
ARG,2040,ug/m3,4.769570873,SSP5
AUS,2040,ug/m3,5.143472288,SSP5
AUT,2040,ug/m3,3.806280297,SSP5
BGR,2040,ug/m3,6.003858386,SSP5
BLX,2040,ug/m3,3.174436079,SSP5
BRA,2040,ug/m3,5.090433983,SSP5
CAN,2040,ug/m3,5.414420004,SSP5
CHE,2040,ug/m3,6.153815122,SSP5
CHL,2040,ug/m3,22.16009846,SSP5
CHN,2040,ug/m3,21.70690914,SSP5
COR,2040,ug/m3,10.20554308,SSP5
EAF,2040,ug/m3,12.54241893,SSP5
EGY,2040,ug/m3,39.36213977,SSP5
ESP,2040,ug/m3,4.148280693,SSP5
FIN,2040,ug/m3,3.084589217,SSP5
FRA,2040,ug/m3,3.679840785,SSP5
GBR,2040,ug/m3,2.55959756,SSP5
GOLF,2040,ug/m3,34.95012781,SSP5
GRC,2040,ug/m3,6.642176264,SSP5
HUN,2040,ug/m3,4.41749834,SSP5
IDN,2040,ug/m3,10.03639425,SSP5
ITA,2040,ug/m3,5.947464723,SSP5
JPN,2040,ug/m3,7.756306534,SSP5
KAZ,2040,ug/m3,10.97002472,SSP5
MEME,2040,ug/m3,13.71808803,SSP5
MEX,2040,ug/m3,7.982779859,SSP5
MON,2040,ug/m3,12.18620996,SSP5
MYS,2040,ug/m3,6.683219293,SSP5
NDE,2040,ug/m3,39.73102931,SSP5
NOA,2040,ug/m3,17.94742181,SSP5
NOR,2040,ug/m3,3.532090668,SSP5
NZL,2040,ug/m3,10.81213655,SSP5
PAC,2040,ug/m3,5.875458191,SSP5
PHL,2040,ug/m3,5.769927036,SSP5
POL,2040,ug/m3,3.363100591,SSP5
RCAM,2040,ug/m3,8.602231139,SSP5
RCEU,2040,ug/m3,6.019339321,SSP5
RCZ,2040,ug/m3,3.714209116,SSP5
RFA,2040,ug/m3,3.555831021,SSP5
RIS,2040,ug/m3,24.30650127,SSP5
ROM,2040,ug/m3,4.586170277,SSP5
RSA,2040,ug/m3,10.23716823,SSP5
RSAM,2040,ug/m3,6.672860961,SSP5
RSAS,2040,ug/m3,39.06546849,SSP5
RSEA,2040,ug/m3,13.71946622,SSP5
RUE,2040,ug/m3,5.100096706,SSP5
RUS,2040,ug/m3,5.795783858,SSP5
SAF,2040,ug/m3,7.352952775,SSP5
SWE,2040,ug/m3,2.674429798,SSP5
THA,2040,ug/m3,12.93019632,SSP5
TUR,2040,ug/m3,7.345663032,SSP5
TWN,2040,ug/m3,6.710564986,SSP5
UKR,2040,ug/m3,3.435627866,SSP5
USA,2040,ug/m3,5.067624636,SSP5
VNM,2040,ug/m3,20.56714249,SSP5
WAF,2040,ug/m3,29.25647357,SSP5
ARG,2050,ug/m3,4.636290784,SSP5
AUS,2050,ug/m3,5.129757423,SSP5
AUT,2050,ug/m3,3.37206583,SSP5
BGR,2050,ug/m3,5.57801847,SSP5
BLX,2050,ug/m3,2.84473834,SSP5
BRA,2050,ug/m3,5.006762753,SSP5
CAN,2050,ug/m3,5.262933367,SSP5
CHE,2050,ug/m3,5.340314299,SSP5
CHL,2050,ug/m3,21.30739744,SSP5
CHN,2050,ug/m3,20.57456268,SSP5
COR,2050,ug/m3,9.602844362,SSP5
EAF,2050,ug/m3,12.82502635,SSP5
EGY,2050,ug/m3,41.1186797,SSP5
ESP,2050,ug/m3,4.061418072,SSP5
FIN,2050,ug/m3,2.938195262,SSP5
FRA,2050,ug/m3,3.411016745,SSP5
GBR,2050,ug/m3,2.441361923,SSP5
GOLF,2050,ug/m3,34.30968109,SSP5
GRC,2050,ug/m3,6.335217532,SSP5
HUN,2050,ug/m3,3.815104158,SSP5
IDN,2050,ug/m3,9.895171281,SSP5
ITA,2050,ug/m3,5.555472509,SSP5
JPN,2050,ug/m3,7.699248624,SSP5
KAZ,2050,ug/m3,10.68041069,SSP5
MEME,2050,ug/m3,13.08991194,SSP5
MEX,2050,ug/m3,7.620874845,SSP5
MON,2050,ug/m3,11.67392338,SSP5
MYS,2050,ug/m3,6.509720296,SSP5
NDE,2050,ug/m3,40.08898387,SSP5
NOA,2050,ug/m3,18.36025095,SSP5
NOR,2050,ug/m3,3.32849571,SSP5
NZL,2050,ug/m3,10.80861605,SSP5
PAC,2050,ug/m3,5.871112407,SSP5
PHL,2050,ug/m3,5.70590263,SSP5
POL,2050,ug/m3,2.970631666,SSP5
RCAM,2050,ug/m3,8.419988535,SSP5
RCEU,2050,ug/m3,5.589817228,SSP5
RCZ,2050,ug/m3,3.237497792,SSP5
RFA,2050,ug/m3,3.24964957,SSP5
RIS,2050,ug/m3,23.13459121,SSP5
ROM,2050,ug/m3,3.989913718,SSP5
RSA,2050,ug/m3,10.18869112,SSP5
RSAM,2050,ug/m3,6.590248266,SSP5
RSAS,2050,ug/m3,40.49208221,SSP5
RSEA,2050,ug/m3,13.61431782,SSP5
RUE,2050,ug/m3,4.906505486,SSP5
RUS,2050,ug/m3,5.522005814,SSP5
SAF,2050,ug/m3,8.260072684,SSP5
SWE,2050,ug/m3,2.552335728,SSP5
THA,2050,ug/m3,12.66226673,SSP5
TUR,2050,ug/m3,6.914174249,SSP5
TWN,2050,ug/m3,6.355078764,SSP5
UKR,2050,ug/m3,3.319007223,SSP5
USA,2050,ug/m3,4.962707128,SSP5
VNM,2050,ug/m3,19.9521172,SSP5
WAF,2050,ug/m3,29.75680236,SSP5
