region,year,units,value,scenario
ARG,2005,ug/m3,4.22575332,SSP2
AUS,2005,ug/m3,4.873390369,SSP2
AUT,2005,ug/m3,7.316238697,SSP2
BGR,2005,ug/m3,10.21860295,SSP2
BLX,2005,ug/m3,8.811890672,SSP2
BRA,2005,ug/m3,4.252108013,SSP2
CAN,2005,ug/m3,5.652296543,SSP2
CHE,2005,ug/m3,8.912415957,SSP2
CHL,2005,ug/m3,26.84631891,SSP2
CHN,2005,ug/m3,33.03586864,SSP2
COR,2005,ug/m3,16.94521771,SSP2
EAF,2005,ug/m3,11.22113121,SSP2
EGY,2005,ug/m3,30.85962618,SSP2
ESP,2005,ug/m3,9.146619902,SSP2
FIN,2005,ug/m3,3.576210099,SSP2
FRA,2005,ug/m3,9.353841334,SSP2
GBR,2005,ug/m3,5.616905218,SSP2
GOLF,2005,ug/m3,37.67801902,SSP2
GRC,2005,ug/m3,12.9900343,SSP2
HUN,2005,ug/m3,7.558134698,SSP2
IDN,2005,ug/m3,9.189928416,SSP2
ITA,2005,ug/m3,13.81990672,SSP2
JPN,2005,ug/m3,12.76889558,SSP2
KAZ,2005,ug/m3,11.85468846,SSP2
MEME,2005,ug/m3,18.62053821,SSP2
MEX,2005,ug/m3,9.302351719,SSP2
MON,2005,ug/m3,17.06189797,SSP2
MYS,2005,ug/m3,6.461979498,SSP2
NDE,2005,ug/m3,24.78681162,SSP2
NOA,2005,ug/m3,17.22890505,SSP2
NOR,2005,ug/m3,3.120537167,SSP2
NZL,2005,ug/m3,10.34294303,SSP2
PAC,2005,ug/m3,5.309684968,SSP2
PHL,2005,ug/m3,5.688781555,SSP2
POL,2005,ug/m3,5.739892311,SSP2
RCAM,2005,ug/m3,8.717877623,SSP2
RCEU,2005,ug/m3,9.573035673,SSP2
RCZ,2005,ug/m3,7.64823381,SSP2
RFA,2005,ug/m3,9.073543198,SSP2
RIS,2005,ug/m3,28.22595825,SSP2
ROM,2005,ug/m3,7.949256508,SSP2
RSA,2005,ug/m3,10.57449539,SSP2
RSAM,2005,ug/m3,6.782816648,SSP2
RSAS,2005,ug/m3,27.46825499,SSP2
RSEA,2005,ug/m3,12.65069958,SSP2
RUE,2005,ug/m3,5.44643913,SSP2
RUS,2005,ug/m3,6.480389434,SSP2
SAF,2005,ug/m3,5.37877176,SSP2
SWE,2005,ug/m3,4.459831947,SSP2
THA,2005,ug/m3,14.34223831,SSP2
TUR,2005,ug/m3,10.14131204,SSP2
TWN,2005,ug/m3,11.95792881,SSP2
UKR,2005,ug/m3,4.333128694,SSP2
USA,2005,ug/m3,7.633723006,SSP2
VNM,2005,ug/m3,23.68567955,SSP2
WAF,2005,ug/m3,27.10078054,SSP2
ARG,2010,ug/m3,5.023360919,SSP2
AUS,2010,ug/m3,4.800685383,SSP2
AUT,2010,ug/m3,7.181569285,SSP2
BGR,2010,ug/m3,9.056562737,SSP2
BLX,2010,ug/m3,7.323383202,SSP2
BRA,2010,ug/m3,4.81813275,SSP2
CAN,2010,ug/m3,4.920989928,SSP2
CHE,2010,ug/m3,8.1112848,SSP2
CHL,2010,ug/m3,27.93875743,SSP2
CHN,2010,ug/m3,32.75536628,SSP2
COR,2010,ug/m3,15.20155816,SSP2
EAF,2010,ug/m3,11.48114294,SSP2
EGY,2010,ug/m3,32.28274909,SSP2
ESP,2010,ug/m3,5.95973179,SSP2
FIN,2010,ug/m3,3.634828632,SSP2
FRA,2010,ug/m3,7.47538081,SSP2
GBR,2010,ug/m3,4.506075027,SSP2
GOLF,2010,ug/m3,39.19673535,SSP2
GRC,2010,ug/m3,11.09258108,SSP2
HUN,2010,ug/m3,8.416795937,SSP2
IDN,2010,ug/m3,10.01352259,SSP2
ITA,2010,ug/m3,12.03296071,SSP2
JPN,2010,ug/m3,11.75731421,SSP2
KAZ,2010,ug/m3,11.83179487,SSP2
MEME,2010,ug/m3,18.96229729,SSP2
MEX,2010,ug/m3,6.860278156,SSP2
MON,2010,ug/m3,15.64679381,SSP2
MYS,2010,ug/m3,7.367839844,SSP2
NDE,2010,ug/m3,31.94064309,SSP2
NOA,2010,ug/m3,16.28168408,SSP2
NOR,2010,ug/m3,3.099138615,SSP2
NZL,2010,ug/m3,10.29220811,SSP2
PAC,2010,ug/m3,5.3171794,SSP2
PHL,2010,ug/m3,5.475029301,SSP2
POL,2010,ug/m3,5.745723779,SSP2
RCAM,2010,ug/m3,8.600301951,SSP2
RCEU,2010,ug/m3,10.20719145,SSP2
RCZ,2010,ug/m3,7.484134402,SSP2
RFA,2010,ug/m3,8.031602559,SSP2
RIS,2010,ug/m3,30.17475392,SSP2
ROM,2010,ug/m3,7.95865424,SSP2
RSA,2010,ug/m3,10.54557964,SSP2
RSAM,2010,ug/m3,6.723684339,SSP2
RSAS,2010,ug/m3,32.47337535,SSP2
RSEA,2010,ug/m3,13.19828972,SSP2
RUE,2010,ug/m3,5.179974851,SSP2
RUS,2010,ug/m3,6.404908141,SSP2
SAF,2010,ug/m3,5.671641502,SSP2
SWE,2010,ug/m3,4.021920691,SSP2
THA,2010,ug/m3,14.24360978,SSP2
TUR,2010,ug/m3,10.89245863,SSP2
TWN,2010,ug/m3,11.25459843,SSP2
UKR,2010,ug/m3,5.097135619,SSP2
USA,2010,ug/m3,6.348949873,SSP2
VNM,2010,ug/m3,23.11036684,SSP2
WAF,2010,ug/m3,26.94437041,SSP2
ARG,2020,ug/m3,4.78631938,SSP2
AUS,2020,ug/m3,4.668912657,SSP2
AUT,2020,ug/m3,4.209260253,SSP2
BGR,2020,ug/m3,6.786160463,SSP2
BLX,2020,ug/m3,4.178295618,SSP2
BRA,2020,ug/m3,4.720179049,SSP2
CAN,2020,ug/m3,4.922993389,SSP2
CHE,2020,ug/m3,5.590351082,SSP2
CHL,2020,ug/m3,23.74894285,SSP2
CHN,2020,ug/m3,25.67607809,SSP2
COR,2020,ug/m3,11.86215572,SSP2
EAF,2020,ug/m3,11.44164527,SSP2
EGY,2020,ug/m3,33.4810334,SSP2
ESP,2020,ug/m3,4.042344454,SSP2
FIN,2020,ug/m3,2.845653156,SSP2
FRA,2020,ug/m3,4.165006039,SSP2
GBR,2020,ug/m3,2.448258831,SSP2
GOLF,2020,ug/m3,38.15224528,SSP2
GRC,2020,ug/m3,7.522183172,SSP2
HUN,2020,ug/m3,5.432008712,SSP2
IDN,2020,ug/m3,9.855357304,SSP2
ITA,2020,ug/m3,7.281035895,SSP2
JPN,2020,ug/m3,8.515150062,SSP2
