region,year,units,value,scenario
BGR,2020,ug/m3,6.286160463,SSP1
BLX,2020,ug/m3,3.678295618,SSP1
BRA,2020,ug/m3,4.220179049,SSP1
CAN,2020,ug/m3,4.422993389,SSP1
CHE,2020,ug/m3,5.090351082,SSP1
CHL,2020,ug/m3,23.24894285,SSP1
CHN,2020,ug/m3,25.17607809,SSP1
COR,2020,ug/m3,11.36215572,SSP1
EAF,2020,ug/m3,10.94164527,SSP1
EGY,2020,ug/m3,32.9810334,SSP1
ESP,2020,ug/m3,3.542344454,SSP1
FIN,2020,ug/m3,2.345653156,SSP1
FRA,2020,ug/m3,3.665006039,SSP1
GBR,2020,ug/m3,1.948258831,SSP1
GOLF,2020,ug/m3,37.65224528,SSP1
GRC,2020,ug/m3,7.022183172,SSP1
HUN,2020,ug/m3,4.932008712,SSP1
IDN,2020,ug/m3,9.355357304,SSP1
ITA,2020,ug/m3,6.781035895,SSP1
JPN,2020,ug/m3,8.015150062,SSP1
KAZ,2020,ug/m3,10.89048284,SSP1
MEME,2020,ug/m3,16.28896275,SSP1
MEX,2020,ug/m3,6.587845628,SSP1
MON,2020,ug/m3,13.05885192,SSP1
MYS,2020,ug/m3,6.031094418,SSP1
NDE,2020,ug/m3,34.42047016,SSP1
NOA,2020,ug/m3,15.52270532,SSP1
NOR,2020,ug/m3,2.173169213,SSP1
NZL,2020,ug/m3,9.75901393,SSP1
PAC,2020,ug/m3,4.806345444,SSP1
PHL,2020,ug/m3,4.767532206,SSP1
POL,2020,ug/m3,3.293555246,SSP1
RCAM,2020,ug/m3,7.90571373,SSP1
RCEU,2020,ug/m3,6.411134999,SSP1
RCZ,2020,ug/m3,3.941618675,SSP1
RFA,2020,ug/m3,3.989873589,SSP1
RIS,2020,ug/m3,26.80549669,SSP1
ROM,2020,ug/m3,5.061040806,SSP1
RSA,2020,ug/m3,10.32627251,SSP1
RSAM,2020,ug/m3,5.170911874,SSP1
RSAS,2020,ug/m3,35.54376144,SSP1
RSEA,2020,ug/m3,12.31815553,SSP1
RUE,2020,ug/m3,4.617626081,SSP1
RUS,2020,ug/m3,5.60458698,SSP1
SAF,2020,ug/m3,5.25778861,SSP1
SWE,2020,ug/m3,2.064221793,SSP1
THA,2020,ug/m3,12.2933294,SSP1
TUR,2020,ug/m3,7.946056988,SSP1
TWN,2020,ug/m3,7.795401106,SSP1
UKR,2020,ug/m3,3.302524544,SSP1
USA,2020,ug/m3,4.590787873,SSP1
VNM,2020,ug/m3,20.56636952,SSP1
WAF,2020,ug/m3,26.63366869,SSP1
ARG,2030,ug/m3,3.952359252,SSP1
AUS,2030,ug/m3,4.07810388,SSP1
AUT,2030,ug/m3,3.507099083,SSP1
BGR,2030,ug/m3,5.581174709,SSP1
BLX,2030,ug/m3,2.976558239,SSP1
BRA,2030,ug/m3,4.158062995,SSP1
CAN,2030,ug/m3,4.611841767,SSP1
CHE,2030,ug/m3,7.684070731,SSP1
CHL,2030,ug/m3,22.61386991,SSP1
CHN,2030,ug/m3,22.16389381,SSP1
COR,2030,ug/m3,9.85877122,SSP1
EAF,2030,ug/m3,11.2227411,SSP1
EGY,2030,ug/m3,35.20993763,SSP1
ESP,2030,ug/m3,3.260443489,SSP1
FIN,2030,ug/m3,2.256372388,SSP1
